Departamento,Municipio,Distrito,Nombre,Dirección
Sonsonate,Sonsonate Centro,Sonsonate,"CATEDRAL SANTISIMA TRINIDAD, SONSONATE","Frente al Parque Central, Barrio El Centro, Sonsonate"
Sonsonate,Sonsonate Centro,Sonsonate,"NUESTRA SEÑORA DE LOS ANGELES, SONSONATE","Barrio El Ángel, Sonsonate"
Sonsonate,Sonsonate Centro,Sonsonate,"NUESTRA SEÑORA DEL PILAR, SONSONATE","Barrio El Pilar, Sonsonate"
Sonsonate,Sonsonate Centro,San Antonio del Monte,"SAN ANTONIO DEL MONTE, SAN ANTONIO","Frente a Plaza Principal, San Antonio del Monte"
Sonsonate,Sonsonate Centro,Sonzacate,"SAN MIGUEL ARCANGEL, SONZACATE","Frente al Parque Central, Barrio El Centro, Sonzacate"
Sonsonate,Sonsonate Este,Izalco,"NUESTRA SEÑORA DE LOS DOLORES, IZALCO","Barrio Dolores, Izalco"
Sonsonate,Sonsonate Este,Izalco,"NUESTRA SEÑORA DE LA ASUNCION, IZALCO","Barrio La Asunción, Izalco"
Sonsonate,Sonsonate Norte,Nahuizalco,"SAN JUAN BAUTISTA, NAHUIZALCO","Frente al Parque Central, Barrio El Centro, Nahuizalco"
Sonsonate,Sonsonate Este,San Julián,"SAN JULIAN OBISPO, SAN JULIAN","Frente al Parque Central, Barrio El Centro, San Julián"
Sonsonate,Sonsonate Este,Armenia,"SAN SILVESTRE, ARMENIA","Frente al Parque Central, Barrio El Centro, Armenia"
Sonsonate,Sonsonate Norte,Juayúa,"SANTA LUCIA, JUAYUA","Frente al Parque Central, Barrio El Centro, Juayúa"
Sonsonate,Sonsonate Norte,Juayúa,"SAN JOSE, LA MAJADA","Cantón La Majada, Juayúa"
Sonsonate,Sonsonate Oeste,Acajutla,"SAN FRANCISCO DE ASÍS, ACAJUTLA","Barrio La Playa, Acajutla"
Sonsonate,Sonsonate Este,Izalco,"SAN ISIDRO LABRADOR, SAN ISIDRO LABRADOR","Cantón San Isidro, Izalco"
Sonsonate,Sonsonate Norte,Santa Catarina Masahuat,"SANTA CATARINA MASAHUAT, SANTA CATARINA","Frente al Parque Central, Barrio El Centro, Santa Catarina Masahuat"
Sonsonate,Sonsonate Centro,Santo Domingo de Guzmán,"SANTO DOMINGO DE GUZMAN, SANTO DOMINGO","Frente al Parque Central, Barrio El Centro, Santo Domingo de Guzmán"
Sonsonate,Sonsonate Este,Cuisnahuat,"SAN LUCAS EVANGELISTA, CUISNAHUAT","Frente al Parque Central, Barrio El Centro, Cuisnahuat"
Sonsonate,Sonsonate Este,Santa Isabel Ishuatán,"SANTA ISABEL ISHUATAN, SANTA ISABEL ISHUATAN","Frente al Parque Central, Barrio El Centro, Santa Isabel Ishuatán"
Sonsonate,Sonsonate Centro,Sonsonate,"SANTA MARÍA REINA, SENSUNAPAN","Colonia Sensunapán, Sonsonate"
Sonsonate,Sonsonate Centro,Nahulingo,"SANTIAGO APOSTOL, NAHULINGO","Frente al Parque Central, Barrio El Centro, Nahulingo"
Sonsonate,Sonsonate Norte,Salcoatitán,"SAN MIGUEL ARCANGEL, SALCOATITÁN","Frente al Parque Central, Barrio El Centro, Salcoatitán"
Sonsonate,Sonsonate Oeste,Acajutla,"SAN JOSE, METALIO","Cantón Metalío, Acajutla"
Sonsonate,Sonsonate Este,Caluco,"SAN PEDRO Y SAN PABLO, CALUCO","Frente al Parque Central, Barrio El Centro, Caluco"
Sonsonate,Sonsonate Centro,Sonsonate,"LA RESURRECCIÓN, COL. SANTA MARTA, SONSONATE","Colonia Santa Marta, Sonsonate"
Sonsonate,Sonsonate Este,San Julián,"SAN JOSÉ OBRERO, LOS LAGARTOS","Cantón Los Lagartos, San Julián"
Sonsonate,Sonsonate Oeste,Acajutla,"SAN JUAN MARÍA VIANNEY, ACAJUTLA","Acajutla Centro, Acajutla"
Sonsonate,Sonsonate Este,Santa Isabel Ishuatán,"EL BUEN PASTOR, APANCOYO","Cantón Apancoyo, Santa Isabel Ishuatán"
Sonsonate,Sonsonate Norte,Juayúa,"NUESTRA SEÑORA DE LA ASUNCIÓN, LOS NARANJOS","Cantón Los Naranjos, Juayúa"
Sonsonate,Sonsonate Centro,Sonsonate,"NUESTRA SEÑORA DE GUADALUPE, COL. 14 DE DIC., SONSONATE","Colonia 14 de Diciembre, Sonsonate"
Sonsonate,Sonsonate Este,Cuisnahuat,"MONSEÑOR OSCAR ROMERO, CUISNAHUAT",Cuisnahuat
