departamento,municipio,distrito
AHUACHAPÁN,AHUACHAPÁN NORTE,Atiquizaya
AHUACHAPÁN,AHUACHAPÁN NORTE,El Refugio
AHUACHAPÁN,AHUACHAPÁN NORTE,San Lorenzo
AHUACHAPÁN,AHUACHAPÁN NORTE,Turín
AHUACHAPÁN,AHUACHAPÁN CENTRO,Ahuachapán
AHUACHAPÁN,AHUACHAPÁN CENTRO,Apaneca
AHUACHAPÁN,AHUACHAPÁN CENTRO,Concepción de Ataco
AHUACHAPÁN,AHUACHAPÁN CENTRO,Tacuba
AHUACHAPÁN,AHUACHAPÁN SUR,Guaymango
AHUACHAPÁN,AHUACHAPÁN SUR,Jujutla
AHUACHAPÁN,AHUACHAPÁN SUR,San Francisco Menéndez
AHUACHAPÁN,AHUACHAPÁN SUR,San Pedro Puxtla
SANTA ANA,SANTA ANA NORTE,Masahuat
SANTA ANA,SANTA ANA NORTE,Metapán
SANTA ANA,SANTA ANA NORTE,Santa Rosa Guachipilín
SANTA ANA,SANTA ANA NORTE,Texistepeque
SANTA ANA,SANTA ANA CENTRO,Santa Ana
SANTA ANA,SANTA ANA ESTE,Coatepeque
SANTA ANA,SANTA ANA ESTE,El Congo
SANTA ANA,SANTA ANA OESTE,Candelaria de la Frontera
SANTA ANA,SANTA ANA OESTE,Chalchuapa
SANTA ANA,SANTA ANA OESTE,El Porvenir
SANTA ANA,SANTA ANA OESTE,San Antonio Pajonal
SANTA ANA,SANTA ANA OESTE,San Sebastián Salitrillo
SANTA ANA,SANTA ANA OESTE,Santiago de la Frontera
SONSONATE,SONSONATE NORTE,Juayúa
SONSONATE,SONSONATE NORTE,Nahuizalco
SONSONATE,SONSONATE NORTE,Salcoatitán
SONSONATE,SONSONATE NORTE,Santa Catarina Masahuat
SONSONATE,SONSONATE CENTRO,Sonsonate
SONSONATE,SONSONATE CENTRO,Sonzacate
SONSONATE,SONSONATE CENTRO,Nahulingo
SONSONATE,SONSONATE CENTRO,San Antonio del Monte
SONSONATE,SONSONATE CENTRO,Santo Domingo de Guzmán
SONSONATE,SONSONATE ESTE,Izalco
SONSONATE,SONSONATE ESTE,Armenia
SONSONATE,SONSONATE ESTE,Caluco
SONSONATE,SONSONATE ESTE,San Julián
SONSONATE,SONSONATE ESTE,Cuisnahuat
SONSONATE,SONSONATE ESTE,Santa Isabel Ishuatán
SONSONATE,SONSONATE OESTE,Acajutla
CHALATENANGO,CHALATENANGO NORTE,La Palma
CHALATENANGO,CHALATENANGO NORTE,Citalá
CHALATENANGO,CHALATENANGO NORTE,San Ignacio
CHALATENANGO,CHALATENANGO CENTRO,Nueva Concepción
CHALATENANGO,CHALATENANGO CENTRO,Tejutla
CHALATENANGO,CHALATENANGO CENTRO,La Reina
CHALATENANGO,CHALATENANGO CENTRO,Agua Caliente
CHALATENANGO,CHALATENANGO CENTRO,Dulce Nombre de María
CHALATENANGO,CHALATENANGO CENTRO,El Paraíso
CHALATENANGO,CHALATENANGO CENTRO,San Fernando
CHALATENANGO,CHALATENANGO CENTRO,San Francisco Morazán
CHALATENANGO,CHALATENANGO CENTRO,San Rafael
CHALATENANGO,CHALATENANGO CENTRO,Santa Rita
CHALATENANGO,CHALATENANGO SUR,Chalatenango
CHALATENANGO,CHALATENANGO SUR,Arcatao
CHALATENANGO,CHALATENANGO SUR,Azacualpa
CHALATENANGO,CHALATENANGO SUR,Comalapa
CHALATENANGO,CHALATENANGO SUR,Concepción Quezaltepeque
CHALATENANGO,CHALATENANGO SUR,El Carrizal
CHALATENANGO,CHALATENANGO SUR,La Laguna
CHALATENANGO,CHALATENANGO SUR,Las Vueltas
CHALATENANGO,CHALATENANGO SUR,Nombre de Jesús
CHALATENANGO,CHALATENANGO SUR,Nueva Trinidad
CHALATENANGO,CHALATENANGO SUR,Ojos de Agua
CHALATENANGO,CHALATENANGO SUR,Potonico
CHALATENANGO,CHALATENANGO SUR,San Antonio de la Cruz
CHALATENANGO,CHALATENANGO SUR,San Antonio Los Ranchos
CHALATENANGO,CHALATENANGO SUR,San Francisco Lempa
CHALATENANGO,CHALATENANGO SUR,San Isidro Labrador
CHALATENANGO,CHALATENANGO SUR,San José Cancasque
CHALATENANGO,CHALATENANGO SUR,San Miguel de Mercedes
CHALATENANGO,CHALATENANGO SUR,San José Las Flores
CHALATENANGO,CHALATENANGO SUR,San Luis del Carmen
CUSCATLÁN,CUSCATLÁN NORTE,Suchitoto
CUSCATLÁN,CUSCATLÁN NORTE,San José Guayabal
CUSCATLÁN,CUSCATLÁN NORTE,Oratorio de Concepción
CUSCATLÁN,CUSCATLÁN NORTE,San Bartolomé Perulapía
CUSCATLÁN,CUSCATLÁN NORTE,San Pedro Perulapán
CUSCATLÁN,CUSCATLÁN SUR,Cojutepeque
CUSCATLÁN,CUSCATLÁN SUR,San Rafael Cedros
CUSCATLÁN,CUSCATLÁN SUR,Candelaria
CUSCATLÁN,CUSCATLÁN SUR,Monte San Juan
CUSCATLÁN,CUSCATLÁN SUR,El Carmen
CUSCATLÁN,CUSCATLÁN SUR,San Cristóbal
CUSCATLÁN,CUSCATLÁN SUR,Santa Cruz Michapa
CUSCATLÁN,CUSCATLÁN SUR,San Ramón
CUSCATLÁN,CUSCATLÁN SUR,El Rosario
CUSCATLÁN,CUSCATLÁN SUR,Santa Cruz Analquito
CUSCATLÁN,CUSCATLÁN SUR,Tenancingo
SAN SALVADOR,SAN SALVADOR NORTE,Aguilares
SAN SALVADOR,SAN SALVADOR NORTE,El Paisnal
SAN SALVADOR,SAN SALVADOR NORTE,Guazapa
SAN SALVADOR,SAN SALVADOR OESTE,Apopa
SAN SALVADOR,SAN SALVADOR OESTE,Nejapa
SAN SALVADOR,SAN SALVADOR ESTE,Ilopango
SAN SALVADOR,SAN SALVADOR ESTE,San Martín
SAN SALVADOR,SAN SALVADOR ESTE,Soyapango
